District/Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1970
Gurdaspur,714.8,1282.8,1200.6,1306.9,1273.3,944.8,1166.7,1047.7,499.1,640.3,545.9,589,808.4,823.8,985.3,925.2,761.1,1092.6,626.2,1066.7,830.1,810.6,662.6,1038.3,1000.9,1189.5,1211.9,1110.7,963.4,824.7,1214.9,563.1,1487.4,618.8,802.7,1007.2,1000.1,1048,946,944,1155,911.6,903.1,1210.9,1370.6,944.3,599.5,926.3
Pathankot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,518.4,581.9,480.7,511.5,579.8,552.1,562.9,323.8,685.8,332.2,679.3,239.5,265.4,304.4,571.7,527.4,303.1,454.6,215.7,350.7,207.9,327.1,554.8,813.2,507.2,634.9,406.6,423.5,440.6,452.4,650.8,469.8,982.3,496.3,724.4,773,1046.6,657.8,544,542.7,869.8,511.9,542.7,702.3,1233.2,542.9,378.9,594.6
Tarn Taran,401.6,393.2,446,560.5,270.5,341,451.3,352.1,398.3,2,542.2,93.3,93.3,394.4,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,1108.3,637.3,959.9,566.2,731.7,764.8,453.2,605.5,696.7,7,554.5,644,644,365.5,497.1,645.6,230.9,401.4,155,704,542,464.5,492,973.5,726.8,595.5,676.5,575.8,575.8,530.6,780.5,588.5,689.5,447.5,464,599.5,543.1,603,0,0,683,582,180,609.5,592.5,619.6,338.9,554.9
Jalandhar,828.3,561,542.4,575.7,459.9,326.6,378.5,311.3,593.9,799.8,560.3,543.9,673.8,376.6,487.1,848.1,431.4,619.5,285.7,399,364.2,315.7,469.6,596.7,394.4,1509.7,748.9,55.9,652.6,755.1,1195.7,648.4,1539.8,519.1,812,895,1204.1,1153.3,616,636.3,873.9,666.3,645.6,774.7,627,648.5,367.9,171.4
SBS Nagar,769.2,745.6,971.6,1109.4,1048.6,650,824.7,567.9,835.7,562.1,604.8,70.8,517.8,622.6,424.1,701.6,579.8,623,473,959.3,699.4,705.1,936.7,1932.6,1359.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,470.3,444.3,681.6,904,509.3,444.1,593.8,508,586,673.8,635.8,609.1,885.6,432,510.9,679.1,523.7,735.3,410.5,467.3,658,641,1004.6,916.3,671.1,360.9,1056.3,1019.2,811.6,862.9,1075.6,891.2,1958.2,614.8,1008.1,1039.7,790.7,910.8,788,769,906.1,709.8,712.7,950,991.5,787.8,510.9,999.3
Rupnagar,758.3,1010.5,1018.6,1378.9,1022.7,845,821.7,622.7,957.8,11.9,897.2,724.8,957.3,897.8,354,443.6,636.7,626.7,655.9,760.2,793.4,675.2,641.8,967,624.8,848.4,1004.9,871.7,661.1,688.2,1092.4,713.7,1516.4,647.7,953.4,1025.3,776.6,1277.4,776,753.9,759.1,609.9,815.7,732,628.7,866.2,557.2,983.4
