District/Year,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,643,557,501,452,507,617,649,705,640,663,617,636,590,641,587,547,571,569,561,521,512,513,472,511,492,474,468,441,456,371,342,433,411,410,367,329,329,289,290,321,293,258,214,146,155,134,139,131,105,109,95
Pathankot,86,77,88,72,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,677,574,513,505,518,538,482,503,501,532,546,538,520,1034,872,879,958,972,988,877,879,883,881,921,846,803,781,768,809,617,504,642,649,582,484,420,417,349,412,511,413,280,257,198,275,176,202,174,133,113,100
Tarn Taran,759,614,504,540,594,595,490,500,530,525,539,514,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,513,483,470,439,451,445,433,459,452,428,428,414,422,423,361,362,364,358,349,314,299,290,269,322,329,296,284,276,331,176,268,274,239,249,221,204,219,197,171,160,136,116,85,79,67,73,66,55,41,38,32
Jalandhar,715,699,649,616,596,625,583,588,636,588,554,514,526,538,465,495,445,488,464,436,418,403,353,574,583,527,539,496,532,391,412,589,434,389,322,326,287,260,235,242,159,111,84,84,75,65,50,26,20,17,14
SBS Nagar,282,260,252,226,202,231,226,231,232,213,194,209,171,199,171,151,143,158,160,150,145,142,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,292,287,244,244,252,252,269,261,248,209,185,157,182,171,179,159,171,192,178,169,169,156,167,175,161,162,173,186,183,122,110,132,118,132,105,103,114,109,92,96,86,82,70,64,62,75,71,49,41,33,33
Rupnagar,170,172,165,129,128,145,127,147,135,139,122,138,128,176,170,141,163,163,156,128,138,130,123,118,131,117,122,113,102,89,89,112,96,86,83,72,52,72,37,39,31,13,15,10,17,13,8,7,6,5,6
SAS Nagar,108,112,116,94,95,117,119,127,98,88,103,82,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
