District,Year,Rainfall,Rice_Production,Wheat_Production
Gurdaspur,2017,1273.3,557.0,848.0
Amritsar,2017,579.8,574.0,930.0
Tarn Taran,2017,270.5,614.0,886.0
Kapurthala,2017,731.7,483.0,522.0
Jalandhar,2017,459.9,699.0,809.0
SBS Nagar,2017,1048.6,260.0,374.0
Hoshiarpur,2017,509.3,287.0,606.0
Rupnagar,2017,1022.7,172.0,328.0
SAS Nagar,2017,670.4,112.0,235.0
Ludhiana,2017,575.2,1247.0,1273.0
Ferozepur,2017,93.7,791.0,959.0
Faridkot,2017,342.2,468.0,609.0
Sri Muktsar Sahib,2017,329.7,699.0,1093.0
Moga,2017,534.3,816.0,918.0
Bathinda,2017,356.8,689.0,1335.0
Mansa,2017,264.5,442.0,876.0
Sangrur,2017,300.6,1355.0,1589.0
Barnala,2017,338.8,516.0,626.0
Patiala,2017,542.2,984.0,1193.0
Fatehgarh Sahib,2017,496.7,405.0,436.0
Gurdaspur,2016,944.8,501.0,856.0
Amritsar,2016,552.1,513.0,842.0
Tarn Taran,2016,341.0,504.0,842.0
Kapurthala,2016,764.8,470.0,469.0
Jalandhar,2016,326.6,649.0,762.0
SBS Nagar,2016,650.0,252.0,368.0
Hoshiarpur,2016,444.1,244.0,591.0
Rupnagar,2016,845.0,165.0,274.0
SAS Nagar,2016,586.0,116.0,232.0
Ludhiana,2016,359.1,1181.0,1172.0
Ferozepur,2016,131.5,729.0,862.0
Faridkot,2016,412.6,435.0,545.0
Sri Muktsar Sahib,2016,351.9,667.0,969.0
Moga,2016,458.9,871.0,805.0
Bathinda,2016,357.5,621.0,1184.0
Mansa,2016,203.0,363.0,789.0
Sangrur,2016,377.5,1334.0,1373.0
Barnala,2016,330.0,511.0,560.0
Patiala,2016,325.6,910.0,1073.0
Fatehgarh Sahib,2016,304.6,384.0,394.0
Gurdaspur,2015,1166.7,452.0,627.0
Amritsar,2015,562.9,505.0,736.0
Tarn Taran,2015,451.3,540.0,777.0
Kapurthala,2015,453.2,439.0,440.0
Jalandhar,2015,378.5,616.0,685.0
SBS Nagar,2015,824.7,226.0,282.0
Hoshiarpur,2015,593.8,244.0,543.0
Rupnagar,2015,821.7,129.0,266.0
SAS Nagar,2015,832.0,94.0,198.0
Ludhiana,2015,622.4,1119.0,1129.0
Ferozepur,2015,171.0,733.0,877.0
Faridkot,2015,490.0,421.0,558.0
Sri Muktsar Sahib,2015,372.8,514.0,907.0
Moga,2015,434.8,815.0,794.0
Bathinda,2015,391.1,529.0,1216.0
Mansa,2015,391.1,296.0,742.0
Sangrur,2015,492.7,1281.0,1366.0
Barnala,2015,326.4,507.0,527.0
Patiala,2015,514.1,904.0,1048.0
Fatehgarh Sahib,2015,685.9,374.0,340.0
Gurdaspur,2014,1047.7,507.0,822.0
Amritsar,2014,323.8,518.0,934.0
Tarn Taran,2014,352.1,594.0,931.0
Kapurthala,2014,605.5,451.0,548.0
Jalandhar,2014,311.3,596.0,837.0
SBS Nagar,2014,567.9,202.0,371.0
Hoshiarpur,2014,508.0,252.0,671.0
Rupnagar,2014,622.7,128.0,307.0
SAS Nagar,2014,611.0,95.0,228.0
Ludhiana,2014,360.4,1137.0,1327.0
Ferozepur,2014,204.7,766.0,1001.0
Faridkot,2014,396.0,443.0,601.0
Sri Muktsar Sahib,2014,412.4,457.0,1058.0
Moga,2014,396.3,815.0,922.0
Bathinda,2014,335.8,501.0,1259.0
Mansa,2014,183.5,334.0,854.0
Sangrur,2014,270.2,1290.0,1567.0
Barnala,2014,122.5,500.0,593.0
Patiala,2014,395.0,959.0,1153.0
Fatehgarh Sahib,2014,263.8,351.0,427.0
Gurdaspur,2013,499.1,617.0,825.0
Amritsar,2013,685.8,538.0,875.0
